,city,prop_type,prop_size,prop_desc,prop_price
178,london,1,523 Sq Ft,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
179,london,1,523 Sq Ft,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
180,london,1,"1,728 Sq Ft","Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","- £925,000.00"
181,london,1,"2,477 Sq Ft","Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG","- £1,245,000.00"
182,london,1,"1,785 Sq Ft","Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG","- £1,000,000.00"
183,london,1,"1,136 to 2,732 Sq Ft","Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB","- £495,000.00"
184,london,1,"4,288 Sq Ft","Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG","- £1,400,000.00"
185,london,1,"1,400 Sq Ft","Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",
186,london,1,"3,373 Sq Ft","Residential Development Opportunity, 91B Mora Road, Cricklewood, NW2 6TB",
187,london,1,"1,650 Sq Ft","Investment Opportunity For Sale, Old Timber Court 1 & 2, Acton Lane, Chiswick, W4 5JQ","- £1,100,000.00"
188,london,1,"11,957 Sq Ft","Block B, The Pump House, 30 Seagull Lane, London, E16 1YP",
189,london,1,"1,397 Sq Ft","Self-Contained Office Building, 229 The Broadway, Wimbledon, SW19 1SD","- £725,000.00"
190,london,1,"1,695 to 4,645 Sq Ft","Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU","- £3,400,000.00"
191,london,1,"5,690 Sq Ft","B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN","- £2,250,000.00"
192,london,1,"2,158 to 4,316 Sq Ft","Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",
193,london,1,"1,113 Sq Ft","Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED","- £575,000.00"
194,london,1,"5,530 Sq Ft","27 Kelso Place , Kensington, London, W8 5QG","- £5,500,000.00"
195,london,1,"1,632 Sq Ft","Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB","- £625,000.00"
196,london,1,"2,906 to 8,030 Sq Ft","Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",
197,london,1,523 Sq Ft,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
198,london,1,523 Sq Ft,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL","- £295,000.00"
199,london,1,"1,728 Sq Ft","Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY","- £925,000.00"
