city,prop_type,prop_desc,prop_size(lower) SQ Ft,prop_size(upper) SQ Ft,prop_price(£)
london,Office,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",1728,13543,925000
london,Office,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",1695,4645,3400000
london,Office,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",5690,13543,2250000
london,Office,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",2158,4316,640000
london,Office,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",1113,13543,575000
london,Office,"27 Kelso Place , Kensington, London, W8 5QG",5530,13543,5500000
london,Office,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",1632,13543,625000
london,Office,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",2906,8030,640000
london,Office,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",1728,13543,925000
london,Office,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",2477,13543,1245000
london,Office,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",1695,4645,3400000
london,Office,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",5690,13543,2250000
london,Office,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",2158,4316,640000
london,Office,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",1113,13543,575000
london,Office,"27 Kelso Place , Kensington, London, W8 5QG",5530,13543,5500000
london,Office,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",1632,13543,625000
